"common.name","spp","spp.code","year","N","nets"
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2005,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2005,16,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2005,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2005,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2005,1,9
"Hooded Warbler","Setophaga citrina","HOWA",2005,3,9
"American Redstart","Setophaga ruticilla","AMRE",2005,9,9
"Cape May Warbler","Setophaga tigrina","CMWA",2005,2,9
"Northern Parula","Setophaga americana","NOPA",2005,5,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2005,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2005,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2005,8,9
"Baltimore Oriole","Icterus galbula","BAOR",2005,0,9
"Indigo Bunting","Passerina cyanea","INBU",2005,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2005,1,9
"Merlin","Falco columbarius","MERL",2006,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2006,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2006,23,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2006,6,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2006,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2006,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2006,26,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2006,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2006,1,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2006,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2006,0,9
"American Redstart","Setophaga ruticilla","AMRE",2006,7,9
"Cape May Warbler","Setophaga tigrina","CMWA",2006,0,9
"Northern Parula","Setophaga americana","NOPA",2006,7,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2006,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2006,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2006,7,9
"Baltimore Oriole","Icterus galbula","BAOR",2006,1,9
"Indigo Bunting","Passerina cyanea","INBU",2006,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2006,1,9
"Merlin","Falco columbarius","MERL",2007,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2007,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2007,11,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2007,2,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2007,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2007,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2007,12,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2007,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2007,1,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2007,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2007,1,9
"American Redstart","Setophaga ruticilla","AMRE",2007,10,9
"Cape May Warbler","Setophaga tigrina","CMWA",2007,0,9
"Northern Parula","Setophaga americana","NOPA",2007,7,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2007,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2007,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2007,4,9
"Baltimore Oriole","Icterus galbula","BAOR",2007,0,9
"Indigo Bunting","Passerina cyanea","INBU",2007,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2007,0,9
"Merlin","Falco columbarius","MERL",2008,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2008,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2008,8,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2008,0,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2008,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2008,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2008,5,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2008,3,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2008,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2008,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2008,0,9
"American Redstart","Setophaga ruticilla","AMRE",2008,10,9
"Cape May Warbler","Setophaga tigrina","CMWA",2008,0,9
"Northern Parula","Setophaga americana","NOPA",2008,5,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2008,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2008,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2008,1,9
"Baltimore Oriole","Icterus galbula","BAOR",2008,0,9
"Indigo Bunting","Passerina cyanea","INBU",2008,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2008,0,9
